id,fixed acidity,volatile acidity,citric acid,residual sugar,flavonoids,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,country,quality
535,10.3,0.27,0.24,2.1,0.441,0.072,15,33,0.9956,3.22,0.66,12.8,Spain,6
536,10,0.48,0.24,2.7,0.654,0.102,13,32,1,3.28,0.56,10,Italy,6
537,9.1,0.22,0.24,2.1,0.456,0.078,1,28,0.999,3.41,0.87,10.3,Italy,6
538,9.9,0.63,0.24,2.4,0.574,0.077,6,33,0.9974,3.09,0.57,9.4,Italy,5
539,8.1,0.825,0.24,2.1,0.6675,0.084,5,13,0.9972,3.37,0.77,10.7,Italy,6
540,12.9,0.35,0.49,5.8,0.435,0.066,5,35,1.0014,3.2,0.66,12,Spain,7
541,11.2,0.5,0.74,5.15,0.65,0.1,5,17,0.9996,3.22,0.62,11.2,UK,5
542,9.2,0.59,0.24,3.3,0.682,0.101,20,47,0.9988,3.26,0.67,9.6,Spain,5
543,9.5,0.46,0.49,6.3,0.458,0.064,5,17,0.9988,3.21,0.73,11,Italy,6
544,9.3,0.715,0.24,2.1,0.5645,0.07,5,20,0.9966,3.12,0.59,9.9,UK,5
545,11.2,0.66,0.24,2.5,0.623,0.085,16,53,0.9993,3.06,0.72,11,UK,6
546,14.3,0.31,0.74,1.8,0.468,0.075,6,15,1.0008,2.86,0.79,8.4,Italy,6
547,9.1,0.47,0.49,2.6,0.611,0.094,38,106,0.9982,3.08,0.59,9.1,Spain,5
548,7.5,0.55,0.24,2,0.555,0.078,10,28,0.9983,3.45,0.78,9.5,Italy,6
549,10.6,0.31,0.49,2.5,0.428,0.067,6,21,0.9987,3.26,0.86,10.7,Italy,6
550,12.4,0.35,0.49,2.6,0.5,0.079,27,69,0.9994,3.12,0.75,10.4,Italy,6
551,9,0.53,0.49,1.9,1.014,0.171,6,25,0.9975,3.27,0.61,9.4,Italy,6
552,6.8,0.51,0.01,2.1,0.523,0.074,9,25,0.9958,3.33,0.56,9.5,UK,6
553,9.4,0.43,0.24,2.8,0.589,0.092,14,45,0.998,3.19,0.73,10,Spain,6
554,9.5,0.46,0.24,2.7,0.598,0.092,14,44,0.998,3.12,0.74,10,Italy,6
555,5,1.04,0.24,1.6,0.562,0.05,32,96,0.9934,3.74,0.62,11.5,Spain,5
556,15.5,0.645,0.49,4.2,0.6685,0.095,10,23,1.00315,2.92,0.74,11.1,Italy,5
557,15.5,0.645,0.49,4.2,0.6685,0.095,10,23,1.00315,2.92,0.74,11.1,Italy,5
558,10.9,0.53,0.49,4.6,0.749,0.118,10,17,1.0002,3.07,0.56,11.7,Italy,6
559,15.6,0.645,0.49,4.2,0.6685,0.095,10,23,1.00315,2.92,0.74,11.1,Spain,5
560,10.9,0.53,0.49,4.6,0.749,0.118,10,17,1.0002,3.07,0.56,11.7,Italy,6
561,13,0.47,0.49,4.3,0.566,0.085,6,47,1.0021,3.3,0.68,12.7,UK,6
562,12.7,0.6,0.49,2.8,0.555,0.075,5,19,0.9994,3.14,0.57,11.4,UK,5
563,9,0.44,0.49,2.4,0.522,0.078,26,121,0.9978,3.23,0.58,9.2,Italy,5
564,9,0.54,0.49,2.9,0.632,0.094,41,110,0.9982,3.08,0.61,9.2,UK,5
565,7.6,0.29,0.49,2.7,0.547,0.092,25,60,0.9971,3.31,0.61,10.1,Spain,6
566,13,0.47,0.49,4.3,0.566,0.085,6,47,1.0021,3.3,0.68,12.7,Italy,6
567,12.7,0.6,0.49,2.8,0.555,0.075,5,19,0.9994,3.14,0.57,11.4,UK,5
568,8.7,0.7,0.24,2.5,1.34,0.226,5,15,0.9991,3.32,0.6,9,UK,6
569,8.7,0.7,0.24,2.5,1.34,0.226,5,15,0.9991,3.32,0.6,9,Spain,6
570,9.8,0.5,0.49,2.6,1.4,0.25,5,20,0.999,3.31,0.79,10.7,Italy,6
571,6.2,0.36,0.24,2.2,0.583,0.095,19,42,0.9946,3.57,0.57,11.7,Italy,6
572,11.5,0.35,0.49,3.3,0.455,0.07,10,37,1.0003,3.32,0.91,11,Spain,6
573,6.2,0.36,0.24,2.2,0.583,0.095,19,42,0.9946,3.57,0.57,11.7,Italy,6
574,10.2,0.24,0.49,2.4,0.447,0.075,10,28,0.9978,3.14,0.61,10.4,Spain,5
575,10.5,0.59,0.49,2.1,0.527,0.07,14,47,0.9991,3.3,0.56,9.6,Italy,4
576,10.6,0.34,0.49,3.2,0.492,0.078,20,78,0.9992,3.19,0.7,10,Spain,6
577,12.3,0.27,0.49,3.1,0.476,0.079,28,46,0.9993,3.2,0.8,10.2,Spain,6
578,9.9,0.5,0.24,2.3,0.665,0.103,6,14,0.9978,3.34,0.52,10,Spain,4
579,8.8,0.44,0.49,2.8,0.547,0.083,18,111,0.9982,3.3,0.6,9.5,Italy,5
580,8.8,0.47,0.49,2.9,0.566,0.085,17,110,0.9982,3.29,0.6,9.8,Italy,5
581,10.6,0.31,0.49,2.2,0.408,0.063,18,40,0.9976,3.14,0.51,9.8,UK,6
582,12.3,0.5,0.49,2.2,0.595,0.089,5,14,1.0002,3.19,0.44,9.6,UK,5
583,12.3,0.5,0.49,2.2,0.595,0.089,5,14,1.0002,3.19,0.44,9.6,UK,5
584,11.7,0.49,0.49,2.2,0.562,0.083,5,15,1,3.19,0.43,9.2,Spain,5
585,12,0.28,0.49,1.9,0.454,0.074,10,21,0.9976,2.98,0.66,9.9,UK,7
586,11.8,0.33,0.49,3.4,0.564,0.093,54,80,1.0002,3.3,0.76,10.7,UK,7
587,7.6,0.51,0.24,2.4,0.608,0.091,8,38,0.998,3.47,0.66,9.6,Spain,6
588,11.1,0.31,0.49,2.7,0.563,0.094,16,47,0.9986,3.12,1.02,10.6,Spain,7
589,7.3,0.73,0.24,1.9,0.759,0.108,18,102,0.9967,3.26,0.59,9.3,UK,5
590,5,0.42,0.24,2,0.426,0.06,19,50,0.9917,3.72,0.74,14,Spain,8
591,10.2,0.29,0.49,2.6,0.382,0.059,5,13,0.9976,3.05,0.74,10.5,Italy,7
592,9,0.45,0.49,2.6,0.555,0.084,21,75,0.9987,3.35,0.57,9.7,Spain,5
593,6.6,0.39,0.49,1.7,0.467,0.07,23,149,0.9922,3.12,0.5,11.5,Spain,6
594,9,0.45,0.49,2.6,0.555,0.084,21,75,0.9987,3.35,0.57,9.7,Spain,5
595,9.9,0.49,0.58,3.5,0.617,0.094,9,43,1.0004,3.29,0.58,9,Spain,5
596,7.9,0.72,0.17,2.6,0.696,0.096,20,38,0.9978,3.4,0.53,9.5,Spain,5
597,8.9,0.595,0.41,7.9,0.6085,0.086,30,109,0.9998,3.27,0.57,9.3,Spain,5
598,12.4,0.4,0.51,2,0.415,0.059,6,24,0.9994,3.04,0.6,9.3,Spain,6
599,11.9,0.58,0.58,1.9,0.529,0.071,5,18,0.998,3.09,0.63,10,Spain,6
600,8.5,0.585,0.18,2.1,0.5655,0.078,5,30,0.9967,3.2,0.48,9.8,Italy,6
601,12.7,0.59,0.45,2.3,0.587,0.082,11,22,1,3,0.7,9.3,Spain,6
602,8.2,0.915,0.27,2.1,0.7145,0.088,7,23,0.9962,3.26,0.47,10,Spain,4
603,13.2,0.46,0.52,2.2,0.493,0.071,12,35,1.0006,3.1,0.56,9,Spain,6
604,7.7,0.835,0,2.6,0.6555,0.081,6,14,0.9975,3.3,0.52,9.3,Spain,5
605,13.2,0.46,0.52,2.2,0.493,0.071,12,35,1.0006,3.1,0.56,9,Italy,6
606,8.3,0.58,0.13,2.9,0.654,0.096,14,63,0.9984,3.17,0.62,9.1,Italy,6
607,8.3,0.6,0.13,2.6,0.605,0.085,6,24,0.9984,3.31,0.59,9.2,UK,6
608,9.4,0.41,0.48,4.6,0.483,0.072,10,20,0.9973,3.34,0.79,12.2,Spain,7
609,8.8,0.48,0.41,3.3,0.604,0.092,26,52,0.9982,3.31,0.53,10.5,Italy,6
610,10.1,0.65,0.37,5.1,0.745,0.11,11,65,1.0026,3.32,0.64,10.4,Spain,6
611,6.3,0.36,0.19,3.2,0.483,0.075,15,39,0.9956,3.56,0.52,12.7,UK,6
612,8.8,0.24,0.54,2.5,0.487,0.083,25,57,0.9983,3.39,0.54,9.2,Italy,5
613,13.2,0.38,0.55,2.7,0.519,0.081,5,16,1.0006,2.98,0.54,9.4,Italy,5
614,7.5,0.64,0,2.4,0.577,0.077,18,29,0.9965,3.32,0.6,10,Spain,6
615,8.2,0.39,0.38,1.5,0.407,0.058,10,29,0.9962,3.26,0.74,9.8,Spain,5
616,9.2,0.755,0.18,2.2,0.9665,0.148,10,103,0.9969,2.87,1.36,10.2,Italy,6
617,9.6,0.6,0.5,2.3,0.575,0.079,28,71,0.9997,3.5,0.57,9.7,Italy,5
618,9.6,0.6,0.5,2.3,0.575,0.079,28,71,0.9997,3.5,0.57,9.7,Spain,5
619,11.5,0.31,0.51,2.2,0.488,0.079,14,28,0.9982,3.03,0.93,9.8,UK,6
620,11.4,0.46,0.5,2.7,0.748,0.122,4,17,1.0006,3.13,0.7,10.2,Spain,5
621,11.3,0.37,0.41,2.3,0.551,0.088,6,16,0.9988,3.09,0.8,9.3,Italy,5
622,8.3,0.54,0.24,3.4,0.542,0.076,16,112,0.9976,3.27,0.61,9.4,Italy,5
623,8.2,0.56,0.23,3.4,0.558,0.078,14,104,0.9976,3.28,0.62,9.4,Spain,5
624,10,0.58,0.22,1.9,0.574,0.08,9,32,0.9974,3.13,0.55,9.5,Spain,5
625,7.9,0.51,0.25,2.9,0.538,0.077,21,45,0.9974,3.49,0.96,12.1,Spain,6
626,6.8,0.69,0,5.6,0.827,0.124,21,58,0.9997,3.46,0.72,10.2,Spain,5
627,6.8,0.69,0,5.6,0.827,0.124,21,58,0.9997,3.46,0.72,10.2,Italy,5
628,8.8,0.6,0.29,2.2,0.67,0.098,5,15,0.9988,3.36,0.49,9.1,Spain,5
629,8.8,0.6,0.29,2.2,0.67,0.098,5,15,0.9988,3.36,0.49,9.1,Italy,5
630,8.7,0.54,0.26,2.5,0.647,0.097,7,31,0.9976,3.27,0.6,9.3,Italy,6
631,7.6,0.685,0.23,2.3,0.7605,0.111,20,84,0.9964,3.21,0.61,9.3,Italy,5
632,8.7,0.54,0.26,2.5,0.647,0.097,7,31,0.9976,3.27,0.6,9.3,Italy,6
633,10.4,0.28,0.54,2.7,0.609,0.105,5,19,0.9988,3.25,0.63,9.5,Spain,5
634,7.6,0.41,0.14,3,0.558,0.087,21,43,0.9964,3.32,0.57,10.5,Italy,6
635,10.1,0.935,0.22,3.4,0.8055,0.105,11,86,1.001,3.43,0.64,11.3,UK,4
636,7.9,0.35,0.21,1.9,0.47,0.073,46,102,0.9964,3.27,0.58,9.5,Italy,5
637,8.7,0.84,0,1.4,0.577,0.065,24,33,0.9954,3.27,0.55,9.7,Spain,5
638,9.6,0.88,0.28,2.4,0.694,0.086,30,147,0.9979,3.24,0.53,9.4,UK,5
639,9.5,0.885,0.27,2.3,0.6855,0.084,31,145,0.9978,3.24,0.53,9.4,Italy,5
640,7.7,0.915,0.12,2.2,0.9895,0.143,7,23,0.9964,3.35,0.65,10.2,Italy,7
641,8.9,0.29,0.35,1.9,0.422,0.067,25,57,0.997,3.18,1.36,10.3,Italy,6
642,9.9,0.54,0.45,2.3,0.517,0.071,16,40,0.9991,3.39,0.62,9.4,Italy,5
643,9.5,0.59,0.44,2.3,0.532,0.071,21,68,0.9992,3.46,0.63,9.5,Spain,5
644,9.9,0.54,0.45,2.3,0.517,0.071,16,40,0.9991,3.39,0.62,9.4,Italy,5
645,9.5,0.59,0.44,2.3,0.532,0.071,21,68,0.9992,3.46,0.63,9.5,Spain,5
646,9.9,0.54,0.45,2.3,0.517,0.071,16,40,0.9991,3.39,0.62,9.4,Spain,5
647,7.8,0.64,0.1,6,0.767,0.115,5,11,0.9984,3.37,0.69,10.1,UK,7
648,7.3,0.67,0.05,3.6,0.736,0.107,6,20,0.9972,3.4,0.63,10.1,Italy,5
649,8.3,0.845,0.01,2.2,0.6035,0.07,5,14,0.9967,3.32,0.58,11,Italy,4
650,8.7,0.48,0.3,2.8,0.474,0.066,10,28,0.9964,3.33,0.67,11.2,Spain,7
651,6.7,0.42,0.27,8.6,0.466,0.068,24,148,0.9948,3.16,0.57,11.3,Italy,6
652,10.7,0.43,0.39,2.2,0.659,0.106,8,32,0.9986,2.89,0.5,9.6,Spain,5
653,9.8,0.88,0.25,2.5,0.784,0.104,35,155,1.001,3.41,0.67,11.2,Spain,5
654,15.9,0.36,0.65,7.5,0.588,0.096,22,71,0.9976,2.98,0.84,14.9,Italy,5
655,6.7,0.58,0.08,1.8,0.659,0.097,15,65,0.9959,3.28,0.54,9.2,Spain,5
656,9.4,0.33,0.59,2.8,0.494,0.079,9,30,0.9976,3.12,0.54,12,Spain,6
657,8.6,0.47,0.47,2.4,0.511,0.074,7,29,0.9979,3.08,0.46,9.5,Italy,5
658,9.7,0.55,0.17,2.9,0.6,0.087,20,53,1.0004,3.14,0.61,9.4,Spain,5
659,10.7,0.43,0.39,2.2,0.659,0.106,8,32,0.9986,2.89,0.5,9.6,Italy,5
660,12,0.5,0.59,1.4,0.515,0.073,23,42,0.998,2.92,0.68,10.5,Italy,7
661,7.2,0.52,0.07,1.4,0.526,0.074,5,20,0.9973,3.32,0.81,9.6,Spain,6
662,7.1,0.84,0.02,4.4,0.732,0.096,5,13,0.997,3.41,0.57,11,Italy,4
663,7.2,0.52,0.07,1.4,0.526,0.074,5,20,0.9973,3.32,0.81,9.6,Spain,6
664,7.5,0.42,0.31,1.6,0.526,0.08,15,42,0.9978,3.31,0.64,9,UK,5
665,7.2,0.57,0.06,1.6,0.551,0.076,9,27,0.9972,3.36,0.7,9.6,UK,6
666,10.1,0.28,0.46,1.8,0.334,0.05,5,13,0.9974,3.04,0.79,10.2,Italy,6
667,12.1,0.4,0.52,2,0.58,0.092,15,54,1,3.03,0.66,10.2,Italy,5
668,9.4,0.59,0.14,2,0.597,0.084,25,48,0.9981,3.14,0.56,9.7,Spain,5
669,8.3,0.49,0.36,1.8,1.257,0.222,6,16,0.998,3.18,0.6,9.5,Italy,6
670,11.3,0.34,0.45,2,0.512,0.082,6,15,0.9988,2.94,0.66,9.2,Spain,6
671,10,0.73,0.43,2.3,0.514,0.059,15,31,0.9966,3.15,0.57,11,Spain,5
672,11.3,0.34,0.45,2,0.512,0.082,6,15,0.9988,2.94,0.66,9.2,Italy,6
673,6.9,0.4,0.24,2.5,0.535,0.083,30,45,0.9959,3.26,0.58,10,UK,5
674,8.2,0.73,0.21,1.7,0.589,0.074,5,13,0.9968,3.2,0.52,9.5,Italy,5
675,9.8,1.24,0.34,2,0.767,0.079,32,151,0.998,3.15,0.53,9.5,Italy,5
676,8.2,0.73,0.21,1.7,0.589,0.074,5,13,0.9968,3.2,0.52,9.5,Italy,5
677,10.8,0.4,0.41,2.2,0.54,0.084,7,17,0.9984,3.08,0.67,9.3,UK,6
678,9.3,0.41,0.39,2.2,0.443,0.064,12,31,0.9984,3.26,0.65,10.2,Italy,5
679,10.8,0.4,0.41,2.2,0.54,0.084,7,17,0.9984,3.08,0.67,9.3,Spain,6
680,8.6,0.8,0.11,2.3,0.66,0.084,12,31,0.9979,3.4,0.48,9.9,Spain,5
681,8.3,0.78,0.1,2.6,0.639,0.081,45,87,0.9983,3.48,0.53,10,UK,5
682,10.8,0.26,0.45,3.3,0.378,0.06,20,49,0.9972,3.13,0.54,9.6,UK,5
683,13.3,0.43,0.58,1.9,0.479,0.07,15,40,1.0004,3.06,0.49,9,UK,5
684,8,0.45,0.23,2.2,0.605,0.094,16,29,0.9962,3.21,0.49,10.2,Italy,6
685,8.5,0.46,0.31,2.25,0.528,0.078,32,58,0.998,3.33,0.54,9.8,Spain,5
686,8.1,0.78,0.23,2.6,0.529,0.059,5,15,0.997,3.37,0.56,11.3,Spain,5
687,9.8,0.98,0.32,2.3,0.684,0.078,35,152,0.998,3.25,0.48,9.4,UK,5
688,8.1,0.78,0.23,2.6,0.529,0.059,5,15,0.997,3.37,0.56,11.3,Italy,5
689,7.1,0.65,0.18,1.8,0.545,0.07,13,40,0.997,3.44,0.6,9.1,Spain,5
690,9.1,0.64,0.23,3.1,0.667,0.095,13,38,0.9998,3.28,0.59,9.7,Italy,5
691,7.7,0.66,0.04,1.6,0.393,0.039,4,9,0.9962,3.4,0.47,9.4,Spain,5
692,8.1,0.38,0.48,1.8,0.899,0.157,5,17,0.9976,3.3,1.05,9.4,UK,5
693,7.4,1.185,0,4.25,0.8405,0.097,5,14,0.9966,3.63,0.54,10.7,Spain,3
694,9.2,0.92,0.24,2.6,0.711,0.087,12,93,0.9998,3.48,0.54,9.8,Spain,5
695,8.6,0.49,0.51,2,2.257,0.422,16,62,0.9979,3.03,1.17,9,Italy,5
696,9,0.48,0.32,2.8,0.564,0.084,21,122,0.9984,3.32,0.62,9.4,Spain,5
697,9,0.47,0.31,2.7,0.561,0.084,24,125,0.9984,3.31,0.61,9.4,Spain,5
698,5.1,0.47,0.02,1.3,0.311,0.034,18,44,0.9921,3.9,0.62,12.8,Spain,6
699,7,0.65,0.02,2.1,0.525,0.066,8,25,0.9972,3.47,0.67,9.5,Spain,6
700,7,0.65,0.02,2.1,0.525,0.066,8,25,0.9972,3.47,0.67,9.5,Spain,6
701,9.4,0.615,0.28,3.2,0.6195,0.087,18,72,1.0001,3.31,0.53,9.7,UK,5
702,11.8,0.38,0.55,2.1,0.469,0.071,5,19,0.9986,3.11,0.62,10.8,UK,6
703,10.6,1.02,0.43,2.9,0.686,0.076,26,88,0.9984,3.08,0.57,10.1,Italy,6
704,7,0.65,0.02,2.1,0.525,0.066,8,25,0.9972,3.47,0.67,9.5,Spain,6
705,7,0.64,0.02,2.1,0.527,0.067,9,23,0.997,3.47,0.67,9.4,Italy,6
706,7.5,0.38,0.48,2.6,0.479,0.073,22,84,0.9972,3.32,0.7,9.6,Italy,4
707,9.1,0.765,0.04,1.6,0.6195,0.078,4,14,0.998,3.29,0.54,9.7,Italy,4
708,8.4,1.035,0.15,6,0.6755,0.073,11,54,0.999,3.37,0.49,9.9,Spain,5
709,7,0.78,0.08,2,0.699,0.093,10,19,0.9956,3.4,0.47,10,Italy,5
710,7.4,0.49,0.19,3,0.532,0.077,16,37,0.9966,3.37,0.51,10.5,Spain,5
711,7.8,0.545,0.12,2.5,0.5035,0.068,11,35,0.996,3.34,0.61,11.6,Italy,6
712,9.7,0.31,0.47,1.6,0.403,0.062,13,33,0.9983,3.27,0.66,10,Spain,6
713,10.6,1.025,0.43,2.8,0.7075,0.08,21,84,0.9985,3.06,0.57,10.1,Italy,5
714,8.9,0.565,0.34,3,0.6345,0.093,16,112,0.9998,3.38,0.61,9.5,UK,5
715,8.7,0.69,0,3.2,0.627,0.084,13,33,0.9992,3.36,0.45,9.4,UK,5
716,8,0.43,0.36,2.3,0.504,0.075,10,48,0.9976,3.34,0.46,9.4,Italy,5
717,9.9,0.74,0.28,2.6,0.612,0.078,21,77,0.998,3.28,0.51,9.8,Italy,5
718,7.2,0.49,0.18,2.7,0.492,0.069,13,34,0.9967,3.29,0.48,9.2,Spain,6
719,8,0.43,0.36,2.3,0.504,0.075,10,48,0.9976,3.34,0.46,9.4,Italy,5
720,7.6,0.46,0.11,2.6,0.533,0.079,12,49,0.9968,3.21,0.57,10,UK,5
721,8.4,0.56,0.04,2,0.578,0.082,10,22,0.9976,3.22,0.44,9.6,UK,5
722,7.1,0.66,0,3.9,0.628,0.086,17,45,0.9976,3.46,0.54,9.5,Spain,5
723,8.4,0.56,0.04,2,0.578,0.082,10,22,0.9976,3.22,0.44,9.6,Spain,5
724,8.9,0.48,0.24,2.85,0.614,0.094,35,106,0.9982,3.1,0.53,9.2,Spain,5
725,7.6,0.42,0.08,2.7,0.546,0.084,15,48,0.9968,3.21,0.59,10,Spain,5
726,7.1,0.31,0.3,2.2,0.358,0.053,36,127,0.9965,2.94,1.62,9.5,UK,5
727,7.5,1.115,0.1,3.1,0.7645,0.086,5,12,0.9958,3.54,0.6,11.2,UK,4
728,9,0.66,0.17,3,0.583,0.077,5,13,0.9976,3.29,0.55,10.4,Spain,5
729,8.1,0.72,0.09,2.8,0.636,0.084,18,49,0.9994,3.43,0.72,11.1,Italy,6
730,6.4,0.57,0.02,1.8,0.506,0.067,4,11,0.997,3.46,0.68,9.5,UK,5
731,6.4,0.57,0.02,1.8,0.506,0.067,4,11,0.997,3.46,0.68,9.5,UK,5
732,6.4,0.865,0.03,3.2,0.6145,0.071,27,58,0.995,3.61,0.49,12.7,Italy,6
733,9.5,0.55,0.66,2.3,2.1,0.387,12,37,0.9982,3.17,0.67,9.6,UK,5
734,8.9,0.875,0.13,3.45,0.7025,0.088,4,14,0.9994,3.44,0.52,11.5,Italy,5
735,7.3,0.835,0.03,2.1,0.7105,0.092,10,19,0.9966,3.39,0.47,9.6,Italy,5
736,7,0.45,0.34,2.7,0.545,0.082,16,72,0.998,3.55,0.6,9.5,Italy,5
737,7.7,0.56,0.2,2,0.543,0.075,9,39,0.9987,3.48,0.62,9.3,UK,5
738,7.7,0.965,0.1,2.1,0.8495,0.112,11,22,0.9963,3.26,0.5,9.5,Spain,5
739,7.7,0.965,0.1,2.1,0.8495,0.112,11,22,0.9963,3.26,0.5,9.5,Spain,5
740,8.2,0.59,0,2.5,0.642,0.093,19,58,1.0002,3.5,0.65,9.3,Spain,6
741,9,0.46,0.23,2.8,0.598,0.092,28,104,0.9983,3.1,0.56,9.2,Italy,5
742,9,0.69,0,2.4,0.647,0.088,19,38,0.999,3.35,0.6,9.3,Spain,5
743,8.3,0.76,0.29,4.2,0.603,0.075,12,16,0.9965,3.45,0.68,11.5,Spain,6
744,9.2,0.53,0.24,2.6,0.549,0.078,28,139,0.99788,3.21,0.57,9.5,Italy,5
745,6.5,0.615,0,1.9,0.5095,0.065,9,18,0.9972,3.46,0.65,9.2,Italy,5
746,11.6,0.41,0.58,2.8,0.603,0.096,25,101,1.00024,3.13,0.53,10,Italy,5
747,11.1,0.39,0.54,2.7,0.592,0.095,21,101,1.0001,3.13,0.51,9.5,UK,5
748,7.3,0.51,0.18,2.1,0.503,0.07,12,28,0.99768,3.52,0.73,9.5,Spain,6
749,8.2,0.34,0.38,2.5,0.502,0.08,12,57,0.9978,3.3,0.47,9,Spain,6
750,8.6,0.33,0.4,2.6,0.514,0.083,16,68,0.99782,3.3,0.48,9.4,Spain,5
751,7.2,0.5,0.18,2.1,0.505,0.071,12,31,0.99761,3.52,0.72,9.6,UK,6
752,7.3,0.51,0.18,2.1,0.503,0.07,12,28,0.99768,3.52,0.73,9.5,UK,6
753,8.3,0.65,0.1,2.9,0.64,0.089,17,40,0.99803,3.29,0.55,9.5,Spain,5
754,8.3,0.65,0.1,2.9,0.64,0.089,17,40,0.99803,3.29,0.55,9.5,Italy,5
755,7.6,0.54,0.13,2.5,0.647,0.097,24,66,0.99785,3.39,0.61,9.4,Spain,5
756,8.3,0.65,0.1,2.9,0.64,0.089,17,40,0.99803,3.29,0.55,9.5,Spain,5
757,7.8,0.48,0.68,1.7,2.219,0.415,14,32,0.99656,3.09,1.06,9.1,Italy,6
758,7.8,0.91,0.07,1.9,0.563,0.058,22,47,0.99525,3.51,0.43,10.7,Spain,6
759,6.3,0.98,0.01,2,0.579,0.057,15,33,0.99488,3.6,0.46,11.2,Spain,6
760,8.1,0.87,0,2.2,0.681,0.084,10,31,0.99656,3.25,0.5,9.8,Italy,5
761,8.1,0.87,0,2.2,0.681,0.084,10,31,0.99656,3.25,0.5,9.8,Italy,5
762,8.8,0.42,0.21,2.5,0.586,0.092,33,88,0.99823,3.19,0.52,9.2,UK,5
763,9,0.58,0.25,2.8,0.549,0.075,9,104,0.99779,3.23,0.57,9.7,Spain,5
764,9.3,0.655,0.26,2,0.6765,0.096,5,35,0.99738,3.25,0.42,9.6,UK,5
765,8.8,0.7,0,1.7,0.555,0.069,8,19,0.99701,3.31,0.53,10,UK,6
766,9.3,0.655,0.26,2,0.6765,0.096,5,35,0.99738,3.25,0.42,9.6,Italy,5
767,9.1,0.68,0.11,2.8,0.669,0.093,11,44,0.99888,3.31,0.55,9.5,Spain,6
768,9.2,0.67,0.1,3,0.656,0.091,12,48,0.99888,3.31,0.54,9.5,Spain,6
769,8.8,0.59,0.18,2.9,0.622,0.089,12,74,0.99738,3.14,0.54,9.4,UK,5
770,7.5,0.6,0.32,2.7,0.695,0.103,13,98,0.99938,3.45,0.62,9.5,Italy,5
771,7.1,0.59,0.02,2.3,0.587,0.082,24,94,0.99744,3.55,0.53,9.7,Spain,6
772,7.9,0.72,0.01,1.9,0.596,0.076,7,32,0.99668,3.39,0.54,9.6,Italy,5
773,7.1,0.59,0.02,2.3,0.587,0.082,24,94,0.99744,3.55,0.53,9.7,Italy,6
774,9.4,0.685,0.26,2.4,0.6155,0.082,23,143,0.9978,3.28,0.55,9.4,Spain,5
775,9.5,0.57,0.27,2.3,0.581,0.082,23,144,0.99782,3.27,0.55,9.4,Italy,5
776,7.9,0.4,0.29,1.8,0.905,0.157,1,44,0.9973,3.3,0.92,9.5,Spain,6
777,7.9,0.4,0.3,1.8,0.905,0.157,2,45,0.99727,3.31,0.91,9.5,Italy,6
778,7.2,1,0,3,0.81,0.102,7,16,0.99586,3.43,0.46,10,Italy,5
779,6.9,0.765,0.18,2.4,1.4445,0.243,5.5,48,0.99612,3.4,0.6,10.3,Spain,6
780,6.9,0.635,0.17,2.4,1.3955,0.241,6,18,0.9961,3.4,0.59,10.3,Italy,6
781,8.3,0.43,0.3,3.4,0.524,0.079,7,34,0.99788,3.36,0.61,10.5,Spain,5
782,7.1,0.52,0.03,2.6,0.536,0.076,21,92,0.99745,3.5,0.6,9.8,UK,5
783,7,0.57,0,2,1.121,0.19,12,45,0.99676,3.31,0.6,9.4,UK,6
784,6.5,0.46,0.14,2.4,0.708,0.114,9,37,0.99732,3.66,0.65,9.8,Italy,5
785,9,0.82,0.05,2.4,0.651,0.081,26,96,0.99814,3.36,0.53,10,Spain,5
786,6.5,0.46,0.14,2.4,0.708,0.114,9,37,0.99732,3.66,0.65,9.8,UK,5
787,7.1,0.59,0.01,2.5,0.562,0.077,20,85,0.99746,3.55,0.59,9.8,Spain,5
788,9.9,0.35,0.41,2.3,0.52,0.083,11,61,0.9982,3.21,0.5,9.5,Spain,5
789,9.9,0.35,0.41,2.3,0.52,0.083,11,61,0.9982,3.21,0.5,9.5,Spain,5
790,10,0.56,0.24,2.2,0.563,0.079,19,58,0.9991,3.18,0.56,10.1,Spain,6
791,10,0.56,0.24,2.2,0.563,0.079,19,58,0.9991,3.18,0.56,10.1,UK,6
792,8.6,0.63,0.17,2.9,0.684,0.099,21,119,0.998,3.09,0.52,9.3,Italy,5
793,7.4,0.37,0.43,2.6,0.521,0.082,18,82,0.99708,3.33,0.68,9.7,UK,6
794,8.8,0.64,0.17,2.9,0.612,0.084,25,130,0.99818,3.23,0.54,9.6,Spain,5
795,7.1,0.61,0.02,2.5,0.588,0.081,17,87,0.99745,3.48,0.6,9.7,Italy,6
796,7.7,0.6,0,2.6,0.455,0.055,7,13,0.99639,3.38,0.56,10.8,Spain,5
797,10.1,0.27,0.54,2.3,0.406,0.065,7,26,0.99531,3.17,0.53,12.5,UK,6
798,10.8,0.89,0.3,2.6,0.927,0.132,7,60,0.99786,2.99,1.18,10.2,Italy,5
799,8.7,0.46,0.31,2.5,0.768,0.126,24,64,0.99746,3.1,0.74,9.6,UK,5
800,9.3,0.37,0.44,1.6,0.301,0.038,21,42,0.99526,3.24,0.81,10.8,UK,7
801,9.4,0.5,0.34,3.6,0.56,0.082,5,14,0.9987,3.29,0.52,10.7,Spain,6
802,9.4,0.5,0.34,3.6,0.56,0.082,5,14,0.9987,3.29,0.52,10.7,Italy,6
